brand,product_links
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-plant-stem-cell-day-cream-spf-30-P451747?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-30-glycolic-acid-peel-P451745?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-15-niacinamide-gel-serum-P451748?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-27-glycolic-acid-facial-cleanser-P451744?icid2=products
sobel-skincare-rx,https://www.sephora.com/product/sobel-skin-rx-triple-oligo-peptide-eye-cream-P451750?icid2=products
sol-de-janeiro,https://www.sephora.com/product/brazilian-bum-bum-cream-P406080?icid2=products
sol-de-janeiro,https://www.sephora.com/product/sol-de-janeiro-bom-dia-bright-body-cream-P470125?icid2=products
sol-de-janeiro,https://www.sephora.com/product/bum-bum-jet-set-P444048?icid2=products
sol-de-janeiro,https://www.sephora.com/product/brazilian-crush-body-fragrance-mist-P417312?icid2=products
sol-de-janeiro,https://www.sephora.com/product/brazilian-crush-body-fragrance-mist-mini-P421481?icid2=products
sol-de-janeiro,https://www.sephora.com/product/sol-de-janeiro-mini-bom-dia-bright-body-cream-P470126?icid2=products
sol-de-janeiro,https://www.sephora.com/product/brazilian-bum-bum-cream-mini-P425318?icid2=products
sol-de-janeiro,https://www.sephora.com/product/brazilian-4-play-moisturizing-shower-cream-gel-P411862?icid2=products
sol-de-janeiro,https://www.sephora.com/product/coco-cabana-body-cream-P448211?icid2=products
sol-de-janeiro,https://www.sephora.com/product/sol-de-janeiro-sol-cheirosa-62-eau-de-parfum-P456223?icid2=products
sol-de-janeiro,https://www.sephora.com/product/sol-de-janeiro-bum-bum-body-scrub-P459306?icid2=products
sol-de-janeiro,https://www.sephora.com/product/sol-de-janeiro-brazilian-joia-strengthening-smoothing-shampoo-conditioner-set-P454098?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/st-tropez-tanning-essentials-st-tropez-x-ashley-graham-ultimate-glow-mousse-kit-P469541?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/self-tan-purity-bronzing-water-face-mist-P432262?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/self-tan-classic-bronzing-mousse-P407450?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/self-tan-express-bronzing-mousse-P407448?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/st-tropez-tanning-essentials-double-sided-luxe-tan-applicator-mitt-P456400?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/st-tropez-tanning-essentials-self-tan-purity-vitamins-bronzing-water-body-mist-P456206?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/gradual-tan-watermelon-infusion-body-lotion-P442746?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/gradual-tan-everyday-tinted-body-lotion-P407202?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/self-tan-purity-bronzing-water-mousse-P429683?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/st-tropez-tanning-essentials-purity-tanning-waters-mini-kit-P456204?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/self-tan-dark-bronzing-mousse-P407452?icid2=products
st-tropez-tanning-essentials,https://www.sephora.com/product/gradual-tan-classic-everyday-mousse-P409603?icid2=products
stacked-skincare,https://www.sephora.com/product/dermaplaning-tool-P441054?icid2=products
stacked-skincare,https://www.sephora.com/product/stacked-skincare-dermaplaning-starter-set-P462894?icid2=products
stacked-skincare,https://www.sephora.com/product/dermaplaning-tool-refill-trio-P441046?icid2=products
stacked-skincare,https://www.sephora.com/product/microneedling-tool-2-0-P441049?icid2=products
stacked-skincare,https://www.sephora.com/product/hyaluronic-acid-champaca-hydrating-serum-P441053?icid2=products
stacked-skincare,https://www.sephora.com/product/hydrating-lip-peel-P446907?icid2=products
stacked-skincare,https://www.sephora.com/product/microneedling-tool-2-0-roller-head-twin-pack-P441050?icid2=products
stacked-skincare,https://www.sephora.com/product/egf-activating-serum-P441051?icid2=products
stila,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=products
stila,https://www.sephora.com/product/magnificent-metals-glitter-glow-liquid-eye-shadow-P63087293?icid2=products
stila,https://www.sephora.com/product/shimmer-glow-liquid-eye-shadow-P427385?icid2=products
stila,https://www.sephora.com/product/correct-perfect-all-in-one-color-correcting-palette-P406281?icid2=products
stila,https://www.sephora.com/product/smudge-stick-waterproof-eye-liner-P261621?icid2=products
stila,https://www.sephora.com/product/one-step-correct-P269019?icid2=products
stila,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-micro-tip-P429008?icid2=products
stila,https://www.sephora.com/product/stila-stay-all-day-dual-ended-waterproof-liquid-eye-liner-P466152?icid2=products
stila,https://www.sephora.com/product/huge-extreme-lash-mascara-P397901?icid2=products
sulwhasoo,https://www.sephora.com/product/sulwhasoo-first-care-activating-serum-ad-P469538?icid2=products
sulwhasoo,https://www.sephora.com/product/sulwhasoo-bestseller-trial-kit-P469537?icid2=products
sulwhasoo,https://www.sephora.com/product/concentrated-ginseng-renewing-cream-P448926?icid2=products
sulwhasoo,https://www.sephora.com/product/gentle-cleansing-oil-P450633?icid2=products
sulwhasoo,https://www.sephora.com/product/gentle-cleansing-foam-P450632?icid2=products
sulwhasoo,https://www.sephora.com/product/essential-firming-cream-P448925?icid2=products
sulwhasoo,https://www.sephora.com/product/concentrated-ginseng-renewing-eye-cream-P448928?icid2=products
sulwhasoo,https://www.sephora.com/product/concentrated-ginseng-renewing-serum-P448922?icid2=products
sulwhasoo,https://www.sephora.com/product/sulwhasoo-concentrated-ginseng-renewing-cream-light-P454775?icid2=products
sulwhasoo,https://www.sephora.com/product/essential-balancing-water-P448918?icid2=products
