pd_id,size_and_item,category,price,love_count,reviews_count
P399835,,"Fragrance, Women, Rollerballs & Travel Size",$32.00,21.9K,2.1K
P169301,,"Fragrance, Men, Cologne",$120.00 ($152.00 value),9.4K,314
P255506,,"Fragrance, Women, Perfume",$165.00,171K,4.8K
P446119,,"Fragrance, Women, Rollerballs & Travel Size",$32.00,18.4K,4.7K
P261810,,"Fragrance, Women, Rollerballs & Travel Size",$35.00,62.4K,1.1K
P471290,,"Fragrance, Women, Perfume",$115.00,949,4
P426305,,Fragrance,$55.00,20.6K,4.7K
P429082,,"Fragrance, Women, Perfume",$120.00,24.7K,258
P376737,,"Fragrance, Men, Cologne",$92.00,16.9K,503
P456977,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$130.00 ($173.00 value),5K,8
P397836,,"Fragrance, Women, Perfume",$98.00,29.2K,254
P405501,,"Fragrance, Men, Cologne",$120.00,3.1K,158
P441723,,"Fragrance, Women, Perfume",$115.00,10.3K,207
P445721,,"Fragrance, Men, Cologne",$110.00,2.6K,123
P437714,Size 10 x 0.04 oz/ 1.2 g,"Makeup, Eye, Eye Palettes",$18.00,99.8K,428
P454983,,"Makeup, Eye, Eye Palettes",$18.00,21.8K,96
P463493,,"Makeup, Eye, Eye Palettes",$45.00,4.4K,11
P429027,,"Makeup, Eye, Eye Palettes",$30.00,31.1K,336
P429925,,"Makeup, Eye, Eye Palettes",$45.00,30.9K,179
P468858,,"Makeup, Eye, Eye Palettes",$42.00,1.9K,5
P466892,,"Makeup, Eye, Eye Palettes",$36.00,3K,6
P448850,,"Makeup, Eye, Eye Palettes",$42.00,11.9K,45
P460733,,"Makeup, Eye, Eye Palettes",$42.00,6.3K,30
P442876,,"Makeup, Eye, Eye Palettes",$25.00 $42.00,13.3K,61
P433200,,"Makeup, Eye, Eye Palettes",$27.00 $45.00,39.9K,311
P428123,,"Makeup, Eye, Eye Palettes",$27.00 $45.00,40.3K,267
P460411,,"Hair, Hair Styling & Treatments, Scalp & Hair Treatments",$46.00,3.9K,14
P448734,,"Hair, Shampoo & Conditioner, Conditioner",$40.00,3.7K,51
P448865,,"Hair, Hair Styling & Treatments, Hair Oil",$42.00,4.8K,33
P448169,,"Hair, Hair Styling & Treatments, Hair Masks",$30.00,4.8K,73
P448733,,"Hair, Shampoo & Conditioner, Shampoo",$38.00,4.5K,64
P448739,,"Hair, Hair Styling & Treatments, Hair Styling Products",$32.00,3.2K,29
P448729,,"Hair, Shampoo & Conditioner, Shampoo",$38.00,2.4K,19
P448730,,"Hair, Shampoo & Conditioner, Conditioner",$40.00,1.2K,4
P455871,,"Hair, Value & Gift Sets",$36.00 ($45.00 value),1.8K,5
P448732,,"Hair, Shampoo & Conditioner, Conditioner",$40.00,1.1K,15
P455833,,"Hair, Hair Styling & Treatments, Hair Styling Products",$36.00,675,2
P468719,,"Hair, Hair Styling & Treatments, Hair Styling Products",$36.00,492,3
P391306,Format 0.84 oz,"Makeup, Eye, Eye Palettes",$80.00,126.4K,720
P470064,,"Makeup, Eye, Eye Palettes",$44.00,2.1K,5
